"Taxon","Synonym","Synonym Describer","OldToNew","NewToOld"
"Malmgreniella nigralba","Malmgrenia lunulata","of Pettibone 1953 in part not (delle Chiaje 1830)",,
"Malmgreniella sanpedroensis","Malmgreniella sp SD3","Rowe 1998 º",,
"Malmgreniella scriptoria","Harmothoe scriptoria","Moore 1910",,
"Malmgreniella scriptoria","Harmothoe nr lunulata","of authors SCB in part",,
"Malmgreniella scriptoria","Malmgrenia lunulata","of Pettibone 1953 in part not (delle Chiaje1830)",,
"Subadyte mexicana","Subadyte sp A","SCAMIT 1990 º",,
"Subadyte mexicana","Subadyte sp B","Harris 1985 º",,
"Tenonia priops","Harmothoe priops","Hartman 1961",,
"Tenonia priops","Tenonia kitsapensis","Nichols 1969",,
"Thormora setosior","Lepidonotus setosior","Chamberlin 1919",,
"Thormora setosior","Lepidonotus setosior","of Hartman 1969",,
"Thormora setosior","Thormora johnstoni","of Hartman 1969",,
"Ysideria hastata","Harmothoe sp A","SCAMIT 1990 º",,
"Pelogenia fimbriata","Psammolyce fimbriata","Hartman 1939",,
"Pelogenia fimbriata","Psammolyce myops","Hartman 1939",,
"Pelogenia fimbriata","Psammolyce spinosa","of Bekeley & Berkeley 1941 not Hartman 1939",,
"Pholoides asperus","Peisidice aspera","Johnson 1897",,
"Pholoides asperus","Paraeupholoe fimbriata","Hartmann-Schr÷der 1962",,
"Pholoides asperus","Parapholoe tuberculata","Hartmann-Schr÷der 1965",,
"Pholoides asperus","Peisidice tuberculata","of Hartman & Fauchald 1971",,
"Pholoides asperus","Pholoe minuta","of Blake 1975 not Fabricius 1780",,
"Pholoides asperus","Pholoides aspera","of Fauchald 1977",,
"Pholoides asperus","Pholoides tuberculata","of Carrasco & Gallardo 1983",,
"Pisione remota","Praegeria remota","Southern 1914",,
"Sigalion spinosus","Eusigalion spinosum","Hartman 1939",,
"Sigalion spinosus","Thalenessa spinosa","of Hartman 1969",,
"Sthenelais tertiaglabra","Sthenelais articulata","of Berkeley & Berkeley 1948 not Kinberg 1855",,
"Sthenelais tertiaglabra","Sthenelais hancocki","Hartman 1939",,
"Sthenelais tertiaglabra","Sthenelais verruculosa","of Pettibone 1953 not Johnson 1897",,
"Glycera americana","Glycera corrugata","Baird 1863",,
"Glycera americana","Glycera edentata","Hansen 1882",,
"Glycera americana","Glycera jucunda","Kinberg 1866",,
"Glycera americana","Glycera laevis","Kinberg 1866",,
"Glycera americana","Glycera peruviana","Quatrefages 1866",,
"Glycera americana","Glycera rugosa","Johnson 1901",,
"Glycera americana","Rhynchobolus americanus","Verrill & Smith 1874",,
"Glycera macrobranchia","Glycera alba macrobranchium","Moore 1911",,
"Glycera macrobranchia","Glycera convoluta","of authors SCB not Keferstein 1862",,
"Glycera nana","Glycera capitata","of Hartman 1950 in part not +rsted 1843",,
"Glycera robusta","Glycera longissima","of Hartman 1940 not Arwidsson 1899",,
"Glycera robusta","Glycera sp A","Harris 1985 º",,
"Glycera tesselata","Glycera nana","of Treadwell 1914 not Johnson 1901",,
"Glycera tesselata","Glycera sagittariae","of Treadwell 1906 not McIntosh 1885",,
"Glycera tesselata","Glycera spadix","Treadwell 1943",,
"Hemipodia borealis","Hemipodus borealis","of authors NEP",,
"Glycinde armigera","Glycinde multidens","of Hartman 1940 not F. Mnller 1858",,
"Goniada brunnea","Goniada annulata","of Treadwell 1914 in part not Moore 1905",,
"Goniada brunnea","Goniada maculata","of Hartman 1940 not +rsted 1843",,
"Goniada littorea","Goniada brunnea","of Treadwell 1914 in part not Treadwell 1906",,
"Goniada littorea","Goniada uncinigera","of Hartman 1940 not Ehlers 1901",,
"Goniada maculata","Goniada brunnea","of Hartman 1940 not Treadwell 1906",,
"Paleanotus bellis","Heteropale bellis","Johnson 1897",,
"Paleanotus bellis","Paleanotus chrysolepis","of Berkeley & Berkeley 1948 not Schmarda 1861",,
"Gyptis brunnea","Oxydromus brunnea","Hartman 1961",,
"Gyptis brunnea","Amphiduros brunnea","of Lissner et al 1986",,
"Micropodarke dubia","Kefersteinia dubia","Hessle 1925",,
"Micropodarke dubia","Micropodarke amemiyai","Okuda 1938",,
"Oxydromus pugettensis","Podarke pugettensis","Johnson 1901",,
"Oxydromus pugettensis","Ophiodromus (Podarke) pugettensis","of Blake 1975",,
"Oxydromus pugettensis","Ophiodromus pugettensis","of Hessle 1925",,
"Oxydromus pugettensis","Ophiodromus pugettensis","(Johnson 1901)",,
"Neogyptis plurisetis","Gyptis plurisetis","Hilbig 1992",,
"Podarkeopsis glabrus","Oxydromus arenicolus glabrus","Hartman 1961",,
"Podarkeopsis glabrus","Gyptis arenicola glabra","of Hartman 1968",,
"Podarkeopsis perkinsi","Podarkeopsis sp B","Harris 1985 º",,
"Podarkeopsis sp A","Podarkeopsis sp A","Harris 1985 º",,
"Psamathe sp","Kefersteinia sp","of SCAMIT Ed 5",,
"Alitta brandti","Neanthes brandti","(Malmgren 1865)",,
"Alitta succinea","Neanthes succinea","(Leuckart 1847)",,
"Alitta succinea","Nereis (Neanthes) saltoni","Hartman 1936",,
"Gymnonereis crosslandi","Chaunorhynchus crosslandi","Monro 1933",,
"Gymnonereis crosslandi","Ceratocephala crosslandi","of Hartman 1952",,
"Gymnonereis crosslandi","Ceratocephale crosslandi americana","of Hartman 1968",,
"Neanthes acuminata Cmplx","Neanthes acuminata","of authors NEP not Ehlers 1868",,
"Neanthes acuminata Cmplx","Neanthes arenaceodentata","of authors NEP not Moore 1903",,
"Neanthes acuminata Cmplx","Neanthes caudata","of authors NEP not (delle Chiaje 1828)",,
"Nereis sp A","Nereis nr procera","of Lissner et al 1986",,
"Nereis sp A","Nereis procera","of authors SCB not Ehlers 1868",,
"Nereis sp A","Nereis sp B","Harris 1985 º",,
"Nicon moniloceras","Leptoneris glauca moniloceras","Hartman 1940",,
"Perinereis monterea","Nereis (Neanthes) monterea","Chamberlin 1918",,
"Platynereis bicanaliculata","Nereis bicanaliculata","Baird 1863",,
"Platynereis bicanaliculata","Nereis dumerilii","of Marenzeller 1879 not Audouin & H. Milne Edwards 1834",,
"Platynereis bicanaliculata","Platynereis agassizi","of Okuda & Yamada 1954",,
"Platynereis bicanaliculata","Platynereis dumerili var agassizi","of Berkeley & Berkeley 1948 not Ehlers 1868",,
"Platynereis dumerilii","Nereis dumerilii","Audouin & H. Milne Edwards 1834",,
"Ancistrosyllis hamata","Pilargis hamatus","Hartman 1960",,
"Ancistrosyllis hamata","Ancistargis hamata","of Salazar-Vallejo 1986",,
"Hermundura fauveli","Loandalia fauveli","Berkeley & Berkeley 1941",,
"Hermundura fauveli","Parandalia fauveli","Berkeley & Berkeley 1941",,
"Pilargis berkeleyae","Pilargis berkeleyi","Monro 1933",,
"Pilargis sp A","Pilargis sp 1","Harris 1996 º",,
"Pilargis sp B","Pilargis sp 2","Harris 1996 º",,
"Pseudexogone williamsae","Pilargidae genus A sp A","Williams 1977 º",,
"Sigambra bassi","Ancistrosyllis bassi","Hartman 1945",,
"Sigambra tentaculata","Ancistrosyllis tentaculata","Treadwell 1941",,
"Synelmis albini","Ancistrosyllis albini","Langerhans 1881",,
"Synelmis albini","Ancistrosyllis rigida","Fauvel 1919",,
"Synelmis albini","Ancistrosyllis rigida","of Hartman 1947",,
"Syllides reishi","Syllides sp A","Dorsey 1976 º",,
"Epigamia-Myrianida Cmplx","Autolytus spp","of authors SCB",,
"Epigamia noroi","Autolytus noroi","Imajima & Hartman 1964",,
"Epigamia noroi","Autolytus nipponensis","Imajima & Hartman 1964",,
"Epigamia noroi","Autolytus (Regulatus) noroi","Imajima & Hartman 1964",,
"Epigamia noroi","Autolytus (Regulatus) nipponensis","Imajima & Hartman 1964",,
"Myrianida convoluta","Autolytus convolutus","Cognetti 1953",,
"Myrianida convoluta","Autolytus (Regulatus) convolutus","Cognetti 1953",,
"Myrianida inermis","Autolytus inermis","Saint-Joseph 1887",,
"Myrianida inermis","Autolytides inermis","(Saint-Joseph 1887)",,
"Myrianida inermis","Autolytus (Autolytides) inermis","Saint-Joseph 1887",,
"Myrianida pachycera","Autolytus pachycerus","Augener 1913",,
"Myrianida pachycera","Myrianida pachycerus","(Augener 1913)",,
"Myrianida pachycera","Autolytus purpureimaculata","Okada 1933",,
"Myrianida pachycera","Myrianida crassicirrata","Hartmann-Schroeder 1965",,
"Myrianida pentadentata","Autolytus (Autolytus) pentadentatus","Imajima 1966",,
"Proceraea nigropunctata","Proceraea sp A","Piltz 1984 º",,
"Proceraea okadai","Autolytus (Regulatus) okadai","Imajima 1966",,
"Proceraea okadai","Autolytus fallax","Pettibone 1954",,
"Proceraea okadai","Autolytus (Regulatus) kiiensis","Imajima 1966",,
"Procerastea nematodes","Procerastea perrieri","Gravier 1900",,
"Brachysyllis lagunae","Orseis lagunae","Hartman 1961",,
"Brachysyllis lagunae","Dioplosyllis broadi","Mueller & Fauchald 1976",,
"Brachysyllis lagunae","Dioplosyllis lagunae","Kudenov & Harris 1995",,
"Eusyllis blomstrandi Cmplx","Eusyllis sp SD1","Velarde 1995 º",,
"Odontosyllis pentalineata","Odontosyllis trilineata","of SCAMIT Ed 7 not Imajima 2003",,
"Odontosyllis pentalineata","Odontosyllis sp","Hartman 1961",,
"Odontosyllis phosphorea","Hesperalia nans","Chamberlin 1919",,
"Odontosyllis phosphorea","Odontosyllis phosphorea nanaimoensis","E. Berkeley 1923",,
"Opisthodonta tridentata","Dioplosyllis tridentata","Kudenov & Harris 1995",,
"Opisthodonta uraga","Pionosyllis uraga","Imajima 1966",,
"Paraehlersia articulata","Pionosyllis articulata","Kudenov & Harris 1995",,
"Exogone dwisula","Exogone gemmifera","of authors SCB not Pagenstecher 1862",,
"Exogone dwisula","Exogone sp B","SCAMIT 1987 º",,
"Exogone dwisula","Exogone uniformis","of Hartman 1961 in part",,
"Exogone dwisula","Sphaerosyllis californiensis","of Hartman 1966 in part",,
"Exogone lourei","Exogone dispar","Pettibone 1954",,
"Exogone lourei","Exogone (Exogone) lourei","of San Martin 1991",,
"Exogone lourei","Exogone uniformis","of Hartman 1961 in part",,
"Exogone lourei","Sphaerosyllis californiensis","of Hartman 1966 in part",,
"Parexogone acutipalpa","Exogone acutipalpa","Kudenov & Harris 1995",,
"Parexogone breviseta","Exogone breviseta","Kudenov & Harris 1995",,
"Parexogone breviseta","Exogone sp C","SCAMIT 1987 º",,
"Parexogone brunnea","Exogonella brunnea","Hartman 1961",,
"Parexogone molesta","Exogone molesta","Banse 1972",,
"Parexogone molesta","Exogone (Parexogone) molesta","of San Martin 1991",,
"Prosphaerosyllis bilineata","Sphaerosyllis bilineata","Kudenov & Harris 1995",,
"Prosphaerosyllis bilineata","Sphaerosyllis californiensis","of Hartman 1966 in part",,
"Prosphaerosyllis bilineata","Sphaerosyllis sp A","Harris & Dorsey 1986 º",,
"Salvatoria brevipharyngea","Brania brevipharyngea","Banse 1972",,
"Salvatoria californiensis","Brania californiensis","Kudenov & Harris 1995",,
"Salvatoria californiensis","Brania sp SD1","Velarde 1995 º",,
"Salvatoria heterocirra","Brania heterocirra","Rioja 1941",,
"Salvatoria mediodentata","Brania mediodentata","Westheide 1974",,
"Sphaerosyllis ranunculus","Sphaerosyllis brandhorsti","of authors NEP not Hartmann-Schr÷der 1965",,
"Haplosyllis ohma","Trypanosyllis (Trypanoseta) ohma","Imajima & Hartman 1964",,
"Haplosyllis ohma","Geminosyllis ohma","(Imajima & Hartman 1964)",,
"Haplosyllis spongicola Cmplx","Syllis spongicola","Grube 1855",,
"Haplosyllis spongiphila","Syllis spongiphila","Verrill 1885",,
"Haplosyllis spongiphila","Syllis (Syllis) spongiphila","of SCAMIT Ed 4",,
"Megasyllis nipponica","Typosyllis nipponica","Imajima 1996",,
"Megasyllis nipponica","Syllis (Typosyllis) nipponica","of SCAMIT Ed 4 list",,
"Syllis adamantea","Trypanosyllis adamanteus","Treadwell 1914",,
"Syllis adamantea","Typosyllis adamanteus","of SCAMIT Ed 11",,
"Syllis adamantea","Pionosyllis decorus","Annenkova 1934",,
"Syllis adamantea","Syllis spenceri","Berkeley & Berkeley 1938",,
"Syllis adamantea","Syllis (Typosyllis) decorus","Chlebovitsch 1961",,
"Syllis elongata","Pionosyllis elongata","Johnson 1901",,
"Syllis elongata","Typosyllis elongata","of SCAMIT Ed 11",,
"Syllis elongata","Syllis (Syllis) elongata","of SCAMIT Ed 4 list",,
"Syllis farallonensis","Typosyllis farallonensis","Blake & Walton 1977",,
"Syllis farallonensis","Syllis (Typosyllis) farallonensis","of SCAMIT Ed 4 list",,
"Syllis gracilis Cmplx","Syllis (Syllis) gracilis","of SCAMIT Ed 4",,
"Syllis heterochaeta","Syllis (Ehlersia) heterochaeta","Moore 1909",,
"Syllis heterochaeta","Typosyllis heterochaeta","of SCAMIT Ed 11",,
"Syllis heterochaeta","Ehlersia heterochaeta","of Kudenov & Harris 1995",,
"Syllis heterochaeta","Langerhansia heterochaeta","of Hartman & Barnard 1960",,
"Syllis heterochaeta","Syllis (Ehlersia) cornuta","of Pettibone 1963 in part not Rathke 1843",,
"Syllis heterochaeta","Syllis cornuta","of Pettibone 1963 in part not Rathke 1843",,
"Syllis hyperioni","Syllis (Ehlersia) hyperioni","Dorsey & Phillips 1987",,
"Syllis hyperioni","Typosyllis hyperioni","of SCAMIT Ed 11",,
"Syllis hyperioni","Ehlersia hyperioni","of Kudenov & Harris 1995",,
"Aglaophamus verrilli","Nephthys verrilli","McIntosh 1885",,
"Aglaophamus verrilli","Aglaophamus dicirris","Hartman 1950",,
"Aglaophamus verrilli","Aglaophamus erectans","of Harris 1985 º in part not Hartman 1950",,
"Aglaophamus verrilli","Nephtys dibranchis","of Hartman 1938",,
"Bipalponephtys cornuta","Nephtys cornuta","Berkeley & Berkeley 1945",,
"Bipalponephtys cornuta","Nephtys cornuta franciscana","R. B. Clark & Jones 1955",,
"Bipalponephtys cornuta","Nephtys parva","R. B. Clark & Jones 1955",,
"Bipalponephtys cornuta","Nephtys signifera","Hilbig 1992 in part",,
"Nephtys caecoides","Nephthys caecoides","of Hartman 1940",,
"Nephtys caecoides","Nephtys californiensis","of Hartman 1950 in part not Hartman 1938",,
"Nephtys caecoides","Nephtys sp B","Harris 1985 º",,
"Nephtys californiensis","Nephthys californiensis","of Hartman 1940",,
"Nephtys ferruginea","Nephthys caecoides ferruginea","Hartman 1940",,
"Nephtys ferruginea","Nephtys californiensis","of Hartman 1950 in part not Hartman 1938",,
"Nephtys ferruginea","Nephtys signifera","Hilbig 1992 in part",,
"Nephtys glabra","Dentinephtys glabra","of Imajima et al 1987",,
"Nephtys simoni","Nepthys sp SD1","Rowe 1994 º",,
"Nephtys squamosa","Nephtys sp SD3","Rowe 2004 º",,
"Ephesiella brevicapitis","Sphaerodorum brevicapitis","Moore 1909",,
"Sphaerephesia similisetis","Sphaerodoridium biserialis","of authors NEP not (Berkeley & Berkeley 1944)",,
"Sphaerephesia similisetis","Sphaerodoropsis biserialis","of authors NEP not (Berkeley & Berkeley 1944)",,
"Sphaerodoridium sp A","Clavodorum clavatum","of authors NEP not Fauchald 1972",,
"Sphaerodoropsis biserialis","Sphaerodorum biserialis","Berkeley & Berkeley 1942",,
"Sphaerodoropsis minuta","Ephesia minuta","Webster & Benedict 1887",,
"Sphaerodoropsis minuta","Sphaerordoridium minutum","of Hartrman 1968",,
"Sphaerodoropsis minuta","Sphaerodorum minutum","of Hartman 1959",,
"Sphaerodoropsis sphaerulifer","Sphaerodorum sphaerulifer","Moore 1909",,
"Eteone brigitteae","Eteone fauchaldi","of Hyland & Neff 1988 in part not Kravitz & Jones 1979",,
"Eteone leptotes","Eteone sp E","Hyland & Neff 1988 º",,
"Eteone pigmentata","Eteone sp A","Harris 1985 º",,
"Eteone pigmentata","Eteone sp C","Hyland & Neff 1988 º",,
"Eulalia californiensis","Steggoa californiensis","Hartman 1936",,
"Eulalia californiensis","Eulalia bilineata","of Blake 1994 not Johnston 1840",,
"Eulalia gracilior","Steggoa gracilior","Chamberlin 1919",,
"Eumida longicornuta","Eulalia longicornuta","Moore 1906",,
"Eumida longicornuta","Eumida sp A","SCAMIT 1987 º",,
"Eumida longicornuta","Eumida sp B","Harris 1999 º",,
"Eumida longicornuta","Eumida sp 2","Hamilton 1976 º",,
"Hesionura coineaui difficilis","Eteonides coineaui difficilis","Banse 1963",,
"Pterocirrus californiensis","Sige californiensis","Chamberlin 1919",,
"Pterocirrus montereyensis","Sige montereyensis","Hartman 1936",,
"Pterocirrus montereyensis","Eumida sp 5","of Hamilton 1976 º",,
"Pterocirrus sp A","Eumida sp 3","of Hamilton 1976 º",,
"Sige bifoliata","Eulalia (Sige) bifoliata","Moore 1909",,
"Sige bifoliata","Sige bifoliata","of Pleijel 1990 not Hartman 1936",,
"Sige sp A","Eumida sp 1","Hamilton 1976 º",,
"Sige sp B","Eulalia sp 4","Hamilton 1976 º",,
"Nereiphylla ferruginea Cmplx","Phyllodoce (Genetyllis) castanea","of Berkeley & Berkeley 1948 not (Marenzeller 1879)",,
"Paranaitis polynoides","Anaitis polynoides","Moore 1909",,
"Paranaitis polynoides","Phyllodoce (Paranaitis) polynoides","of Berkeley & Berkeley 1948",,
"Phyllodoce cuspidata","Phyllodoce (Anaitides) cuspidata","McCammon & Montagne 1979",,
"Phyllodoce groenlandica","Anaitides groenlandica","of Bergstr÷m 1914",,
"Phyllodoce groenlandica","Phyllodoce (Anaitides) groenlandica","of Uschakov 1972",,
"Phyllodoce hartmanae","Anaitides hartmanae","of Kravits & Jones 1979",,
"Phyllodoce hartmanae","Phyllodoce (Aponaitides) hartmanae","of McCammon & Montagne 1979",,
"Phyllodoce longipes","Anaitides longipes","of Hartman 1968",,
"Phyllodoce longipes","Phyllodoce (Anaitides) papillosa","of McCammon & Montagne 1979 not Uschakov & Wu 1959",,
"Phyllodoce longipes","Phyllodoce papillosa","of Hyland & Neff 1988 not Uschakov & Wu 1959",,
"Phyllodoce medipapillata","Anaitides medipapillata","of Hartman 1968",,
"Phyllodoce medipapillata","Phyllodoce (Anaitides) medipapillata","of McCammon & Montagne 1979",,
"Phyllodoce pettiboneae","Phyllodoce sp A","Montagne 1985 º",,
"Phyllodoce williamsi","Anaitides williamsi","Hartman 1936",,
"Fabricinuda limnicola","Fabricia limnicola","Hartman 1951",,
"Novafabricia brunnea","Fabricia brunnea","Hartman 1969",,
"Galathowenia oculata","Myriochele oculata","Zachs 1923",,
"Galathowenia oculata","Myriochele heeri","of Berkeley & Berkeley 1942",,
"Galathowenia oculata","Galathowenia oculata","of Blake 1980",,
"Galathowenia pygidialis","Myriochele pygidialis","Hartman 1960",,
"Myriochele striolata","Myriochele sp M","SCAMIT 1985 º",,
"Myriowenia californiensis","Myriochele gracilis","Hartman 1955 in part",,
"Owenia collaris","Owenia fusiformis collaris","Hartman 1955",,
"Owenia collaris","Owenia collaris","of Hartman 1969",,
"Owenia collaris","Owenia fusiformis","of authors NEP not delle Chiaje 1841",,
"Neosabellaria cementarium","Sabellaria cementarium","Moore 1906",,
"Phragmatopoma californica","Sabellaria californica","Fewkes 1889",,
"Sabellaria gracilis","Sabellaria spinulosa alcocki","Berkeley & Berkeley 1941",,
"Sabellaria gracilis","Sabellaria spinulosa var","Hartman 1939",,
"Acromegalomma circumspectum","Branchiomma circumspectum","Moore 1923",,
"Acromegalomma circumspectum","Megalomma circumspectum","of SCAMIT Ed 11",,
"Acromegalomma coloratum","Potamilla coloratum","Chamberlin 1919",,
"Acromegalomma coloratum","Megalomma coloratum","of SCAMIT Ed 11",,
"Acromegalomma pigmentum","Megalomma pigmentum","Reish 1963",,
"Acromegalomma splendidum","Pseudopotamilla splendida","Moore 1905",,
"Acromegalomma splendidum","Megalomma splendida","of SCAMIT Ed 11",,
"Acromegalomma splendidum","Branchiomma burrardum","E. Berkeley 1930",,
"Chone magna","Euchone magna","Moore 1923",,
"Chone mollis","Metachone mollis","Bush 1904",,
"Claviramus sp A","Fabrisabella sp A","SCAMIT 1986 º",,
"Claviramus sp A","Jasmineira sp A","(SCAMIT 1986 º)",,
"Claviramus sp A","Fabrisabella sp A","Harris 1984 º",,
"Claviramus sp A","Fabrisabella sp B","Williams 1976 º",,
